City,Latitude,Longitude,Temperature,Humidity,Wind,Clouds
sazonovo,59.09,35.23,44.04,95,2.98,100
russkiy,43.01,131.86,41.0,80,4.47,75
north myrtle beach,33.82,-78.68,59.11,82,3.36,1
lisakovsk,52.54,62.49,35.73,82,7.76,93
minab,27.15,57.08,69.8,73,6.93,0
sinnamary,5.38,-52.95,80.83,85,12.33,8
esso,55.93,158.7,29.14,94,4.72,100
college,64.86,-147.8,11.26,78,1.43,90
bubaque,11.28,-15.83,84.06,74,9.98,65
saint george,37.1,-113.58,75.2,15,4.7,1
aklavik,68.22,-135.01,5.0,84,4.7,96
xiaoweizhai,26.19,107.51,58.69,91,1.95,100
yar-sale,66.83,70.83,34.25,97,16.31,100
xuddur,4.12,43.89,72.34,86,5.84,100
eskisehir,39.78,30.52,48.2,87,8.05,75
goksun,38.02,36.5,62.6,45,4.7,40
bandarbeyla,9.49,50.81,76.55,79,7.31,88
porto novo,6.5,2.6,82.4,83,10.29,20
katsuura,35.13,140.3,60.1,47,13.87,20
marsh harbour,26.54,-77.06,80.1,84,11.77,0
nanortalik,60.14,-45.24,26.73,92,8.59,83
valleyview,55.07,-117.29,30.2,80,16.11,100
ponta do sol,32.67,-17.1,65.46,77,12.75,20
barrow,71.29,-156.79,14.0,85,11.41,75
georgetown,5.41,100.34,79.66,88,4.7,20
hun,29.13,15.95,57.06,83,4.68,0
oussouye,12.48,-16.55,77.04,94,2.24,0
cayenne,4.93,-52.33,82.4,88,3.36,20
dalmatovo,56.26,62.94,31.87,94,6.85,100
severnyy-kospashskiy,59.09,57.8,30.0,91,3.0,98
shitkino,56.37,98.35,24.85,96,8.59,99
north platte,41.12,-100.77,57.0,44,8.05,1
naze,28.37,129.48,77.0,61,21.92,40
shache,38.42,77.24,37.45,73,6.44,0
koeru,58.96,26.03,42.04,95,4.0,12
bac lieu,9.29,105.72,82.49,76,4.54,6
kemijarvi,66.71,27.43,25.92,95,1.16,0
livingston,55.9,-3.52,42.01,93,3.36,0
victoria,22.29,114.16,72.82,71,1.01,79
anadyr,64.75,177.48,6.35,77,6.71,20
norman wells,65.28,-126.83,12.2,92,4.7,90
alice town,25.72,-79.3,82.11,74,4.65,1
severo-kurilsk,50.68,156.12,40.87,92,34.16,100
paamiut,61.99,-49.67,26.46,83,16.22,65
qandala,11.47,49.87,80.62,63,7.58,18
hobyo,5.35,48.53,80.38,78,8.32,92
pinawa,50.15,-95.88,34.59,88,12.21,100
raga,8.46,25.68,74.03,78,3.85,100
meybod,32.25,54.02,53.6,23,4.7,0
calabozo,8.92,-67.43,77.86,89,4.88,88
springdale,36.19,-94.13,53.13,62,3.85,1
taldan,53.67,124.8,23.11,93,7.72,100
akdepe,42.06,59.38,33.82,55,9.17,0
vila franca do campo,37.72,-25.43,69.8,88,13.87,75
gibara,21.11,-76.13,80.6,83,10.29,75
kuala kedah,6.1,100.3,77.0,94,1.12,20
pathein,16.78,94.73,76.12,92,9.44,15
nioro,13.35,-15.75,76.91,46,4.92,85
maniitsoq,65.42,-52.9,20.89,86,6.69,69
tuktoyaktuk,69.45,-133.04,5.0,92,8.05,75
barguzin,53.62,109.62,27.82,92,4.85,100
wajima,37.4,136.9,57.2,62,5.82,20
bonavista,48.65,-53.11,29.46,79,2.24,100
bilibino,68.05,166.44,6.3,89,1.12,79
severobaykalsk,55.65,109.32,22.08,86,5.26,100
san jose de guanipa,8.89,-64.17,79.05,75,12.19,100
saint anthony,45.02,-93.22,38.82,55,5.82,1
suzun,53.78,82.31,33.37,97,8.46,100
portland,45.52,-122.68,54.93,66,1.01,22
husavik,66.04,-17.34,37.4,86,10.29,75
balatonalmadi,47.04,18.02,52.0,99,8.99,100
acapulco,16.86,-99.89,84.2,79,5.12,90
lourdes,43.1,-0.05,48.2,87,5.82,0
orda,57.2,56.91,33.73,91,11.16,100
san cristobal,7.77,-72.22,68.27,91,1.99,99
bogandinskiy,56.89,65.89,28.4,86,11.18,0
ostersund,63.18,14.64,40.08,93,13.87,100
provideniya,64.38,-173.3,24.3,85,7.2,45
aguada de pasajeros,22.39,-80.85,82.4,83,2.24,0
khash,28.22,61.22,39.81,64,1.99,0
abu dhabi,24.47,54.37,73.4,88,9.95,0
taoudenni,22.68,-3.98,74.75,22,10.6,62
kamaishi,39.27,141.88,44.6,87,1.45,20
williams lake,52.14,-122.14,37.4,79,3.36,20
apomu,7.33,4.18,72.68,98,1.25,70
lunenburg,44.38,-64.32,38.23,55,8.05,100
shima,24.45,117.81,69.8,52,13.42,0
huejuquilla el alto,22.6,-103.87,64.47,35,6.26,0
akhtanizovskaya,45.32,37.1,57.11,82,6.71,100
buraydah,26.33,43.98,59.0,28,7.96,0
dali,25.7,100.18,59.07,85,2.39,65
san ramon,37.78,-121.98,68.2,52,6.93,1
allapalli,19.42,80.07,64.65,73,1.81,0
mingguang,32.78,117.96,59.09,63,7.87,86
nishihara,26.18,127.76,74.26,53,8.05,20
beyneu,45.32,55.2,43.84,62,16.08,0
yumen,40.28,97.2,35.26,74,14.74,100
haywards heath,51.0,-0.1,55.89,93,9.17,75
hofn,64.25,-15.21,45.95,74,30.11,0
gravdal,68.12,13.5,40.17,72,22.01,100
sioux lookout,50.1,-91.92,30.2,74,5.82,90
vieques,18.43,-65.83,82.92,74,10.29,20
shebunino,46.43,141.86,47.35,59,9.82,64
cherskiy,68.75,161.3,6.84,91,5.14,100
guerrero negro,27.98,-114.06,70.59,44,9.37,36
zemio,5.03,25.14,68.36,96,1.97,92
erdaojiang,41.78,126.03,46.26,55,7.67,100
talnakh,69.49,88.4,14.0,78,31.32,100
barinas,8.62,-70.21,76.46,87,2.42,8
sobolevo,54.43,31.9,46.4,97,1.63,100
svetlyy,54.67,20.13,45.32,100,4.47,40
matagami,49.75,-77.63,6.8,92,4.7,1
manaure,11.78,-72.44,83.25,77,10.18,85
bay roberts,47.6,-53.26,32.99,69,1.01,100
senj,44.99,14.91,50.83,93,1.66,0
vostok,46.49,135.88,34.68,89,3.38,100
podgornoye,51.73,39.15,44.6,100,4.47,90
tukums,56.97,23.16,44.6,100,2.24,75
ilinskiy,55.62,38.12,39.47,93,0.49,75
sovetskiy,61.36,63.58,29.61,97,8.55,98
udankudi,8.43,78.02,80.38,75,3.24,98
kenai,60.55,-151.26,28.62,50,13.87,1
tiznit,29.58,-9.5,69.26,24,4.63,0
lasa,46.62,10.7,39.2,86,4.7,5
vanavara,60.34,102.28,5.5,95,3.13,93
moosomin,50.13,-101.67,42.48,79,20.33,100
kamenka,51.32,42.77,47.84,83,7.52,100
cienaga,11.01,-74.25,79.25,84,1.99,49
torbay,47.67,-52.73,33.6,83,9.17,90
cockburn town,21.46,-71.14,83.55,80,19.55,100
jinchang,38.5,102.17,40.21,62,2.06,0
dayong,25.02,118.29,69.8,52,13.42,0
mecca,21.43,39.83,75.06,67,1.86,0
craig,40.52,-107.55,50.68,53,2.75,1
nouadhibou,20.93,-17.03,66.2,88,13.87,0
nivala,63.92,24.97,25.0,94,4.0,0
dandong,40.13,124.39,53.55,56,11.07,100
fairbanks,64.84,-147.72,11.43,85,4.7,90
balkanabat,39.51,54.37,56.25,34,2.68,0
shingu,33.73,135.98,59.0,47,4.7,20
malinovoye ozero,51.68,79.78,33.85,96,4.25,99
ugoofaaru,5.67,73.0,82.35,72,7.63,4
najran,17.49,44.13,60.8,31,2.24,0
sao filipe,14.9,-24.5,81.32,59,15.28,100
roald,62.58,6.13,46.42,76,10.29,100
igrim,63.19,64.42,35.01,88,9.71,98
jalu,29.03,21.55,62.08,72,10.09,7
kukmor,56.19,50.89,37.04,88,6.87,100
clyde river,70.47,-68.59,12.63,90,4.05,72
ureki,42.0,41.78,57.25,72,14.99,40
mandan,46.83,-100.89,35.29,100,17.22,90
matay,28.42,30.78,67.6,76,15.84,0
hudiksvall,61.73,17.1,41.97,84,4.9,99
solnechnyy,50.72,136.63,37.33,76,3.94,13
gat,31.61,34.76,69.8,100,1.01,51
san quintin,30.48,-115.95,66.38,71,6.87,100
burgeo,47.62,-57.62,33.03,82,12.53,100
rosetown,51.55,-108.0,51.03,67,13.87,100
balykshi,47.07,51.87,44.6,45,20.13,0
kudahuvadhoo,2.67,72.89,82.31,74,10.51,100
jiwani,25.05,61.74,74.46,29,8.1,0
asbe teferi,9.08,40.87,57.79,84,2.66,0
severo-yeniseyskiy,60.37,93.04,-1.48,92,1.77,0
xining,36.62,101.77,34.03,84,2.04,75
tommot,58.96,126.29,10.56,93,1.72,99
porto santo,33.07,-16.34,68.0,82,6.93,20
leningradskiy,69.38,178.42,19.27,94,18.41,70
dharur,18.82,76.12,65.8,79,3.33,8
obeliai,55.97,25.15,42.94,92,4.25,10
clervaux,50.05,6.03,49.55,93,3.85,73
hami,42.8,93.45,35.46,73,5.7,0
petropavlovsk-kamchatskiy,53.05,158.65,42.8,79,8.95,75
mincivan,39.03,46.72,70.88,24,3.83,100
yerbogachen,61.28,108.01,10.13,93,6.85,100
isla mujeres,21.23,-86.73,78.39,88,11.41,90
adrar,20.5,-10.07,81.63,16,9.28,87
mochicahui,25.93,-108.93,79.21,48,13.87,75
kahului,20.89,-156.47,83.16,43,27.51,40
naron,43.52,-8.15,62.19,77,13.87,0
palana,59.12,159.97,32.83,91,3.18,39
constantine,36.37,6.61,48.2,81,2.24,0
olafsvik,64.89,-23.71,40.19,84,12.39,47
zaton,53.29,83.81,32.0,95,11.18,75
roura,4.73,-52.33,82.4,88,3.36,20
linao,7.17,124.97,82.53,79,1.95,76
diosjeno,47.94,19.04,56.01,85,5.01,100
kargopol,61.51,38.95,39.16,92,10.16,100
deputatskiy,69.3,139.9,2.73,95,1.88,100
chitral,35.85,71.79,47.68,35,5.17,0
bayanday,53.07,105.51,23.5,94,6.96,100
omsukchan,62.53,155.8,15.82,92,5.46,67
mahibadhoo,3.78,72.97,82.49,74,7.67,24
port hardy,50.7,-127.42,48.9,76,3.36,40
brindisi,40.58,17.67,60.82,88,12.75,62
lata,40.16,-8.33,56.23,90,1.48,0
portree,57.41,-6.19,46.0,85,20.0,100
korla,41.76,86.15,39.0,66,5.01,0
nyurba,63.28,118.33,-3.68,90,2.53,48
abbeville,50.1,1.83,52.0,77,7.94,2
kumba,4.64,9.45,71.92,95,1.48,40
gubkinskiy,64.43,76.5,31.14,99,12.17,100
beaverlodge,55.22,-119.44,30.2,80,18.34,75
beringovskiy,63.05,179.32,24.55,85,11.81,65
brcko,44.87,18.81,53.01,82,1.99,100
kangaatsiaq,68.31,-53.46,26.1,93,3.94,100
agadez,19.75,10.25,66.85,26,11.61,0
lemgo,52.03,8.9,55.4,93,11.41,99
kadhan,24.48,68.99,74.71,38,7.83,4
cape town,-33.93,18.42,55.9,62,20.8,0
rikitea,-23.12,-134.97,76.21,63,2.04,0
cidreira,-30.18,-50.21,63.64,66,10.36,56
chuy,-33.7,-53.46,53.46,87,6.02,96
ushuaia,-54.8,-68.3,50.0,71,16.11,75
bluff,-46.6,168.33,54.0,98,11.99,100
port alfred,-33.59,26.89,59.67,65,3.89,93
mataura,-46.19,168.86,54.0,98,11.99,100
vaini,-21.2,-175.2,77.0,73,12.75,75
bambous virieux,-20.34,57.76,66.09,56,14.99,40
byron bay,-28.65,153.62,83.57,65,21.92,99
tulungagung,-8.07,111.9,81.57,74,3.8,74
kieta,-6.22,155.63,83.59,74,5.3,57
port elizabeth,-33.92,25.57,51.8,87,4.7,20
punta arenas,-53.15,-70.92,51.4,62,25.28,75
mackay,-21.15,149.2,87.49,52,18.34,40
bengkulu,-3.8,102.27,79.29,80,2.17,97
huarmey,-10.07,-78.15,63.01,84,6.98,100
dunedin,-45.87,170.5,60.28,73,4.0,99
bredasdorp,-34.53,20.04,50.0,81,1.12,21
castro,-24.79,-50.01,52.72,95,10.74,100
avarua,-21.21,-159.78,77.0,73,8.05,99
mitsamiouli,-11.38,43.28,78.15,78,9.71,100
juquitiba,-23.93,-47.07,60.48,87,11.41,90
puerto ayora,-0.74,-90.35,70.0,92,7.0,79
new norfolk,-42.78,147.06,66.25,47,4.0,28
daru,-9.08,143.21,85.15,69,10.16,32
arraial do cabo,-22.97,-42.03,70.47,88,32.44,100
gweta,-20.18,25.23,77.45,18,14.63,0
touros,-5.2,-35.46,77.0,83,4.7,40
atuona,-9.8,-139.03,78.04,73,11.12,41
hermanus,-34.42,19.23,51.01,73,1.01,0
hobart,-42.88,147.33,66.47,59,10.29,20
busselton,-33.65,115.33,70.63,51,10.22,100
saint-philippe,-21.36,55.77,62.64,63,6.93,90
sao felix do xingu,-6.64,-51.99,70.92,95,1.81,100
maceio,-9.67,-35.74,75.2,94,4.7,40
constitucion,-35.33,-72.42,57.78,71,6.91,0
gisborne,-38.65,178.0,69.01,65,5.01,100
soyo,-6.13,12.37,77.02,84,3.74,90
warrnambool,-38.38,142.48,60.01,74,13.27,100
inhambane,-23.86,35.38,73.94,78,11.74,90
paita,-5.09,-81.11,63.23,87,14.41,100
airai,-8.93,125.41,75.87,53,2.57,0
japura,-0.32,102.35,81.54,76,2.06,38
saldanha,-33.01,17.94,53.6,66,9.17,0
saint-joseph,-21.37,55.62,66.09,63,6.93,90
mahebourg,-20.41,57.7,68.0,56,14.99,40
mar del plata,-38.0,-57.56,54.93,76,4.7,0
tual,-5.67,132.75,83.89,70,10.71,0
beloha,-25.17,45.05,63.36,67,8.57,0
santa maria,-29.68,-53.81,60.8,67,5.82,0
itarema,-2.92,-39.92,78.46,80,12.33,7
mount gambier,-37.83,140.77,55.4,76,16.11,90
porto belo,-27.16,-48.55,68.0,64,8.05,75
katobu,-4.94,122.53,91.11,48,2.37,79
vila velha,-20.33,-40.29,75.96,88,8.05,90
lebu,-37.62,-73.65,51.62,89,12.62,0
yantzaza,-3.83,-78.76,70.93,77,0.96,100
mount isa,-20.73,139.5,80.6,18,9.17,0
ambo,-10.13,-76.2,62.62,61,4.94,100
east london,-33.02,27.91,62.17,69,1.48,100
souillac,-20.52,57.52,68.0,56,14.99,40
namibe,-15.2,12.15,73.33,79,3.33,62
codrington,-38.27,141.97,56.03,79,12.46,100
vaitape,-16.52,-151.75,79.65,79,17.36,15
ahipara,-35.17,173.17,67.23,86,13.47,49
biak,-0.91,122.88,77.43,83,5.32,100
tuatapere,-46.13,167.68,54.0,98,11.99,100
alausi,-2.2,-78.83,47.43,92,1.57,97
reconquista,-29.15,-59.65,57.69,77,5.46,24
presidencia roque saenz pena,-26.79,-60.44,61.7,64,7.14,0
coquimbo,-29.95,-71.34,53.6,87,8.05,75
alice springs,-23.7,133.88,73.4,23,10.29,0
luganville,-15.53,167.17,84.2,74,10.29,75
sao gabriel da cachoeira,-0.13,-67.09,77.74,91,3.44,100
lagunas,-5.23,-75.68,73.35,97,2.37,100
mogwase,-25.18,27.27,70.16,39,9.35,6
rio gallegos,-51.62,-69.22,57.2,54,6.93,75
magugu,-4.02,35.77,63.23,72,3.4,68
christchurch,-43.53,172.63,75.04,44,11.41,87
beira,-19.84,34.84,77.0,83,13.87,20
manaus,-3.1,-60.02,80.6,83,3.36,20
carnarvon,-24.87,113.63,73.4,78,6.93,90
santiago del estero,-27.8,-64.26,65.97,29,7.85,0
rocha,-34.48,-54.33,45.5,87,2.66,100
omboue,-1.57,9.26,76.77,90,6.26,100
porto walter,-8.27,-72.74,71.73,98,3.0,100
kawalu,-7.38,108.21,80.06,75,1.52,73
trelew,-43.25,-65.31,65.03,27,11.43,0
madang,-5.22,145.8,85.35,63,0.31,100
acarau,-2.89,-40.12,78.13,81,13.44,21
tome,-36.62,-72.95,60.8,82,1.12,0
isangel,-19.55,169.27,80.6,78,5.82,75
uba,-21.12,-42.94,70.0,99,7.0,100
port augusta,-32.5,137.77,62.6,72,14.99,90
pisco,-13.7,-76.22,62.33,88,9.17,75
calama,-22.47,-68.93,59.0,18,23.04,0
buritama,-21.07,-50.15,71.6,56,25.28,0
standerton,-26.93,29.24,61.0,92,1.01,100
flinders,-34.58,150.86,61.57,94,4.0,70
faanui,-16.48,-151.75,78.78,80,17.4,15
karaton,-6.34,106.1,84.97,66,2.24,20
whyalla,-33.03,137.58,62.6,72,14.99,90
itaituba,-4.28,-55.98,77.41,91,4.94,100
port shepstone,-30.74,30.45,63.59,87,8.88,100
necochea,-38.55,-58.74,51.01,69,7.0,0
geraldton,-28.77,114.6,71.6,73,9.17,90
gizo,-8.1,156.84,84.87,66,4.97,75
palu,-0.89,119.87,88.79,49,1.63,99
pitimbu,-7.47,-34.81,78.8,83,5.82,0
kununurra,-15.77,128.73,93.2,46,3.36,100
bagotville,-28.98,153.42,84.47,65,21.92,95
nsanje,-16.92,35.26,70.97,75,4.32,0
sao joao da barra,-21.64,-41.05,73.62,96,10.02,100
sao joaquim,-28.29,-49.93,46.99,91,5.95,96
maxixe,-23.86,35.35,73.65,78,10.89,92
lasem,-6.69,111.45,83.35,68,4.54,93
matata,-37.88,176.75,64.33,98,1.99,100
nhulunbuy,-12.23,136.77,87.8,58,10.29,0
burnie,-41.07,145.92,64.0,58,8.99,24
bambanglipuro,-7.95,110.28,82.17,74,1.48,66
paso de carrasco,-34.86,-56.05,54.01,58,11.41,0
pemba,-12.97,40.52,76.96,83,3.29,20
opuwo,-18.06,13.84,67.12,56,4.32,0
tucuman,-26.82,-65.22,68.0,34,8.05,0
santa isabel,-23.32,-46.22,59.11,100,8.05,90
hualmay,-11.1,-77.61,62.92,83,5.55,100
ambovombe,-25.17,46.08,61.74,84,5.79,0
ballina,-28.87,153.57,83.86,65,21.92,100
copiapo,-27.37,-70.33,57.2,76,8.05,75
alofi,-19.06,-169.92,78.8,74,18.34,90
port lincoln,-34.73,135.87,59.18,74,10.31,76
perth,-31.93,115.83,74.77,69,3.36,40
salto,-31.38,-57.97,62.01,49,5.99,14
chegutu,-18.13,30.14,70.09,43,9.17,0
lucapa,-8.42,20.74,64.47,98,0.83,22
namatanai,-3.67,152.43,84.67,68,3.76,100
te anau,-45.42,167.72,52.63,92,0.54,100
henties bay,-22.12,14.28,55.0,87,6.35,100
maldonado,-34.67,-54.92,50.86,81,3.36,40
coroata,-4.13,-44.12,78.39,75,4.14,90
kaitangata,-46.28,169.85,57.0,90,18.01,100
kruisfontein,-34.0,24.73,46.99,93,1.01,0
catumbela,-12.43,13.55,75.96,84,6.73,100
ancud,-41.87,-73.82,54.28,71,5.82,0
hokitika,-42.72,170.97,58.66,97,10.36,100
bowen,-20.02,148.23,87.8,45,16.11,40
catabola,-12.15,17.28,62.87,92,2.84,100
ilo,-17.64,-71.34,63.52,79,5.53,98
nokaneng,-19.67,22.27,73.22,30,4.72,0
batemans bay,-35.72,150.18,55.92,97,3.94,100
esperance,-33.87,121.9,69.8,37,21.92,0
cibitoke,-2.88,29.25,64.2,81,3.13,100
sechura,-5.56,-80.82,64.87,80,15.28,99
